Filename                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
tracing-subscriber/src/filter/targets.rs                          506                56    88.93%          52                 2    96.15%         410                34    91.71%           4                 0   100.00%
tracing-subscriber/src/fmt.rs                                     374                57    84.76%          68                10    85.29%         391                53    86.45%           2                 0   100.00%
tracing-subscriber/src/fmt/fmt_layer.rs                          1265               136    89.25%         115                12    89.57%         978               103    89.47%          74                20    72.97%
tracing-subscriber/src/fmt/format.rs                             2080               195    90.62%         166                 7    95.78%        1369                83    93.94%         106                21    80.19%
tracing-subscriber/src/fmt/format/escape.rs                        62                 9    85.48%           4                 0   100.00%          31                 1    96.77%           6                 1    83.33%
tracing-subscriber/src/fmt/format/json.rs                        1222               158    87.07%          90                 7    92.22%         769                54    92.98%          48                 9    81.25%
tracing-subscriber/src/fmt/format/pretty.rs                       462                98    78.79%          27                 8    70.37%         297                59    80.13%          60                17    71.67%
tracing-subscriber/src/fmt/time.rs                                192                17    91.15%          19                 1    94.74%          98                 3    96.94%           0                 0         -
tracing-subscriber/src/fmt/time/chrono_crate.rs                   104                14    86.54%          12                 4    66.67%          79                20    74.68%           0                 0         -
tracing-subscriber/src/fmt/time/datetime.rs                       269                33    87.73%           8                 0   100.00%         150                 3    98.00%          14                 1    92.86%
tracing-subscriber/src/fmt/time/time_crate.rs                     241                31    87.14%          24                 2    91.67%         133                11    91.73%           0                 0         -
tracing-subscriber/src/fmt/writer.rs                             1092               149    86.36%          90                14    84.44%         634                87    86.28%          10                 2    80.00%
tracing-subscriber/src/layer.rs                                   560                79    85.89%          82                 8    90.24%         403                55    86.35%          52                 9    82.69%
tracing-subscriber/src/layer/context.rs                           174                23    86.78%          22                 1    95.45%         122                 8    93.44%          10                 2    80.00%
tracing-subscriber/src/layer/layered.rs                           542                84    84.50%          47                 1    97.87%         243                20    91.77%          58                21    63.79%
tracing-subscriber/src/lib.rs                                       3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
tracing-subscriber/src/registry.rs                                233                34    85.41%          30                 5    83.33%         162                20    87.65%           4                 0   100.00%
tracing-subscriber/src/registry/extensions.rs                     203                30    85.22%          25                 2    92.00%         135                22    83.70%           2                 0   100.00%
tracing-subscriber/src/registry/sharded.rs                        810                64    92.10%          76                 3    96.05%         498                23    95.38%          48                16    66.67%
tracing-subscriber/src/registry/stack.rs                           71                 0   100.00%           9                 0   100.00%          43                 0   100.00%           6                 1    83.33%
tracing-subscriber/src/reload.rs                                  719                50    93.05%          70                 2    97.14%         437                24    94.51%           6                 1    83.33%
tracing-subscriber/src/sync.rs                                     19                 3    84.21%           5                 1    80.00%          19                 5    73.68%           0                 0         -
tracing-subscriber/src/util.rs                                     41                19    53.66%           7                 4    42.86%          34                16    52.94%           0                 0         -
tracing-test/src/lib.rs                                            46                 2    95.65%           7                 0   100.00%          45                 2    95.56%           6                 1    83.33%
tracing-tower/src/http.rs                                         119                17    85.71%           7                 0   100.00%          74                 5    93.24%           0                 0         -
tracing-tower/src/lib.rs                                           36                 1    97.22%           6                 0   100.00%          26                 0   100.00%           0                 0         -
tracing-tower/src/request_span.rs                                  99                 5    94.95%          16                 1    93.75%          95                 6    93.68%           2                 0   100.00%
tracing-tower/src/service_span.rs                                  99                 5    94.95%          16                 1    93.75%          90                 6    93.33%           2                 0   100.00%
tracing/src/field.rs                                               82                16    80.49%           5                 1    80.00%          27                 3    88.89%           0                 0         -
tracing/src/instrument.rs                                          93                 1    98.92%          20                 0   100.00%          79                 1    98.73%           2                 1    50.00%
tracing/src/level_filters.rs                                       69                11    84.06%           6                 1    83.33%          67                 9    86.57%          12                 0   100.00%
tracing/src/lib.rs                                                414                31    92.51%          28                 0   100.00%         229                 8    96.51%          22                 2    90.91%
tracing/src/macros.rs                                               7                 2    71.43%           1                 0   100.00%           4                 1    75.00%           0                 0         -
tracing/src/span.rs                                               534                26    95.13%          57                 0   100.00%         327                16    95.11%          60                13    78.33%
tracing/src/subscriber.rs                                          14                 0   100.00%           3                 0   100.00%          15                 0   100.00%           0                 0         -
xtask/src/extensions.rs                                             3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
xtask/src/lib.rs                                                   35                21    40.00%           5                 4    20.00%          22                14    36.36%           0                 0         -
xtask/src/main.rs                                                   3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
xtask/src/precommit_hook.rs                                         3                 3     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                           36941              4647    87.42%        3335               342    89.75%       23138              2315    89.99%        1834               426    76.77%
